prodId,prodName,prodDesc,prodPrice,prodDiscount,prodStock
P00001,Wireless Mouse,Ergonomic 2.4G wireless mouse,899.00,10,120
P00002,Mechanical Keyboard,RGB backlit blue switch keyboard,3499.00,15,45
P00003,USB-C Hub,7-in-1 USB-C multifunction hub,2299.00,5,80
P00004,Laptop Stand,Adjustable aluminum laptop stand,1599.00,0,60
P00005,Gaming Headset,7.1 surround gaming headset,2799.00,20,35
P00006,Webcam HD,1080p full HD USB webcam,1899.00,5,52
P00007,Portable SSD,512GB USB-C portable SSD,5999.00,10,25
P00008,HDMI Cable,2m high speed HDMI cable,399.00,0,210
P00009,Bluetooth Speaker,Portable mini Bluetooth speaker,1499.00,12,70
P00010,Power Bank,20000mAh fast charge power bank,2499.00,8,40
P00011,WiFi Router,Dual band AC1200 WiFi router,3299.00,10,33
P00012,LED Monitor,24-inch full HD IPS monitor,8999.00,5,18
P00013,External HDD,1TB USB 3.0 external HDD,4299.00,15,27
P00014,Phone Charger,33W fast wall charger,1299.00,0,140
P00015,Type-C Cable,1m braided Type-C cable,299.00,0,300